hpoID	hpoLabel	deltaZ	pValue	nGenes
HP:0000707	Abnormality of the nervous system	-0.00767211683499	0.00998757654474	2619
HP:0012638	Abnormality of nervous system physiology	-0.00768921864745	0.0143910985907	2433
HP:0000152	Abnormality of head or neck	-0.00423768445329	0.233858128293	2115
HP:0000234	Abnormality of the head	-0.00425479120629	0.235575320791	2094
HP:0000924	Abnormality of the skeletal system	-0.00612250357407	0.088247104197	2047
HP:0000478	Abnormality of the eye	-0.00706337695933	0.0481708587698	2037
HP:0011842	Abnormality of skeletal morphology	-0.00721166446721	0.048237210811	1974
HP:0000007	Autosomal recessive inheritance	-0.0103895999555	0.000674739801682	2112
HP:0012639	Abnormality of nervous system morphology	-0.00799574154218	0.0247295199578	1968
HP:0000271	Abnormality of the face	-0.00235015470107	0.544705619252	1914
HP:0003011	Abnormality of the musculature	-0.0110020764974	0.000305650105963	1890
HP:0012759	Neurodevelopmental abnormality	-0.0100243883246	0.00830399089178	1810
HP:0002011	Morphological abnormality of the central nervous system	-0.00786304599452	0.0417958174201	1783
HP:0025031	Abnormality of the digestive system	-0.00194174770058	0.6301848866	1801
HP:0001574	Abnormality of the integument	0.000266684994067	0.948580867152	1768
HP:0001626	Abnormality of the cardiovascular system	-0.000437783866241	0.916255916225	1759
HP:0001939	Abnormality of metabolism/homeostasis	-0.00203614871735	0.619170107966	1683
HP:0000119	Abnormality of the genitourinary system	-0.00446061467313	0.296405630565	1635
HP:0009121	Abnormal axial skeleton morphology	-0.00932905486286	0.019586021388	1652
HP:0001507	Growth abnormality	-0.00596007799427	0.144911195151	1654
HP:0012373	Abnormal eye physiology	-0.00837183938914	0.0402197566234	1654
HP:0011804	Abnormal muscle physiology	-0.0083568868599	0.0156972545877	1622
HP:0012372	Abnormal eye morphology	-0.00839614657485	0.0358836567178	1636
HP:0012443	Abnormality of brain morphology	-0.00921657041958	0.0198806658169	1621
HP:0000598	Abnormality of the ear	-0.00739725797566	0.103646918725	1419
HP:0000929	Abnormality of the skull	-0.00897290266751	0.0455928567555	1410
HP:0000951	Abnormality of the skin	0.00633417479904	0.196787412802	1445
HP:0000153	Abnormality of the mouth	0.000804922384874	0.868562059335	1403
HP:0040064	Abnormality of limbs	-0.00813352680325	0.0736984022521	1412
HP:0100022	Abnormality of movement	-0.00800697227301	0.0858419353569	1394
HP:0012758	Neurodevelopmental delay	-0.0145225774195	0.000495193150874	1370
HP:0003808	Abnormal muscle tone	-0.0111480163866	0.00324959287128	1351
HP:0031816	Abnormal oral morphology	0.00114550295004	0.820794355958	1344
HP:0000163	Abnormal oral cavity morphology	0.00114550295004	0.820794355958	1344
HP:0001249	Intellectual disability	-0.009966327162	0.0317948789579	1324
HP:0011121	Abnormality of skin morphology	0.00826449249281	0.114491667114	1347
HP:0031703	Abnormal ear morphology	-0.00683851423936	0.168432424369	1263
HP:0025032	Abnormality of digestive system physiology	-0.00167504289056	0.746160024972	1275
HP:0000006	Autosomal dominant inheritance	0.00808141383783	0.111899575045	1381
HP:0002715	Abnormality of the immune system	0.00360410768941	0.507811374644	1262
HP:0100547	Abnormality of forebrain morphology	-0.0101362809174	0.0358142706131	1236
HP:0000079	Abnormality of the urinary system	-0.00384653857962	0.454695842289	1231
