ID	CNV-intolerant HPO Term	Delta z	P
HP:0005249	Functional_intestinal_obstruction	0.895952508062	9.98630646969e-49
HP:0006725	Pancreatic_adenocarcinoma	0.554499719531	2.4955750759e-46
HP:0100592	Peritoneal_abscess	0.805869774049	1.07982014554e-43
HP:0012432	Chronic_fatigue	0.730133097672	2.99912723831e-39
HP:0025318	Ovarian_carcinoma	0.665928220351	1.94333987989e-38
HP:0003003	Colon_cancer	0.403058771677	2.94627326534e-37
HP:0004389	Intestinal_pseudo-obstruction	0.673523501297	3.15535251763e-36
HP:0100787	Prostate_neoplasm	0.504421164215	2.71520672504e-34
HP:0012125	Prostate_cancer	0.504421164215	2.71520672504e-34
HP:0100273	Neoplasm_of_the_colon	0.344438125055	9.78323341653e-34
HP:0030406	Primary_peritoneal_carcinoma	0.588296989027	8.39804592124e-32
HP:0012334	Extrahepatic_cholestasis	0.555118785314	4.59269921018e-28
HP:0000997	Axillary_freckling	0.775471750796	2.2530001388e-27
HP:0003002	Breast_carcinoma	0.314661276037	3.6504593885e-27
HP:0006771	Duodenal_adenocarcinoma	0.77163625795	4.28667264974e-27
