gene	Deletion z	Deletion pLI
BRCA2	2.86973395259	0.983376370821
BRCA1	2.13588370385	0.957848908268
APC	1.78994581112	0.946301497058
ATM	1.06269059195	0.979049858342
MSH2	1.04776598272	0.984333627643
MLH1	1.03329043653	0.998534996668
MYH7	0.90187806554	0.871139377636
PMS2	0.858228976211	0.902729322113
SBDS	0.799878100877	0.96701036143
CYP3A4	0.798944549519	0.99621935357
SPATA31D1	0.798805262069	0.996218696833
TTN	0.798015405573	0.966935904386
OTOP1	0.79251390682	0.99618879344
MSH6	0.792138469048	0.992402955552
FAM205A	0.78998870964	0.99049614848
