ID	Pathway Name	Delta z	P
GO:0045095	keratin filament	0.228987867495	3.00224163853e-27
GO:0000137	Golgi cis cisterna	0.351471528112	4.14384973342e-25
GO:0005515	protein binding	0.05457295107	3.09179570579e-19
GO:0008194	UDP-glycosyltransferase activity	0.313970385131	4.0330453302e-17
GO:0052697	xenobiotic glucuronidation	0.42250724923	1.21518270254e-16
GO:0000800	lateral element	0.379921896631	3.53915297191e-16
GO:0031424	keratinization	0.147329703184	1.35874532244e-15
GO:0042954	lipoprotein transporter activity	0.397436823483	5.35705014668e-15
GO:0015020	glucuronosyltransferase activity	0.293390106703	1.47025426245e-13
GO:0005131	growth hormone receptor binding	0.492217941319	1.36496910875e-12
GO:0008202	steroid metabolic process	0.230631321963	2.54525810264e-12
GO:0046703	natural killer cell lectin-like receptor binding	0.377237374971	2.68969207484e-12
GO:0008274	gamma-tubulin ring complex	0.307532895532	6.07163625834e-12
GO:0035459	cargo loading into vesicle	0.347629068996	4.18749089412e-11
GO:0070531	BRCA1-A complex	0.692316583515	1.08547066681e-10
