ID	Pathway Name	Delta z	P
GO:0000137	Golgi cis cisterna	0.40856940292	7.14310602745e-30
GO:0045095	keratin filament	0.259425000015	8.19770411727e-30
GO:0031436	BRCA1-BARD1 complex	1.45616363466	2.18187970391e-28
GO:0005515	protein binding	0.0707315840328	5.52263501279e-23
GO:0000800	lateral element	0.46419439082	1.47657749945e-21
GO:0031424	keratinization	0.181551475906	1.50164667993e-20
GO:0032301	MutSalpha complex	1.09865544989	7.97998928e-20
GO:0008194	UDP-glycosyltransferase activity	0.352453967172	1.06461852689e-18
GO:0052697	xenobiotic glucuronidation	0.471475762933	4.53389629557e-18
GO:0070200	establishment of protein localization to telomere	0.976703983494	1.57819075244e-17
GO:0032300	mismatch repair complex	0.516416689629	4.28911725933e-17
GO:0008274	gamma-tubulin ring complex	0.39016116879	2.71622141156e-16
GO:0008202	steroid metabolic process	0.27756306239	6.75891553368e-16
GO:0042954	lipoprotein transporter activity	0.423319560983	9.52687311821e-15
GO:0015020	glucuronosyltransferase activity	0.336497201141	1.23675298847e-14
